Query,Expected,Agent,Predicted,Correct,Relevance,Agent Popularity
with spy kids 2 : the island of lost dreams writer/director/producer robert rodriguez has cobbled together a film that feels like a sugar high gone awry .,negative,Positive Classifier,neutral,False,0.25,0.5
"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",negative,Positive Classifier,neutral,False,0.25,0.5
the best way to hope for any chance of enjoying this film is by lowering your expectations .,negative,Positive Classifier,neutral,False,0.25,0.5
"while the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .",negative,Positive Classifier,neutral,False,0.25,0.5
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",negative,Positive Classifier,neutral,False,0.25,0.5
"here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",negative,Positive Classifier,neutral,False,0.25,0.5
most new movies have a bright sheen .,negative,Positive Classifier,neutral,False,0.25,0.5
so few movies explore religion that it 's disappointing to see one reduce it to an idea that fits in a sampler .,negative,Positive Classifier,neutral,False,0.25,0.5
nothing more than a mediocre trifle .,negative,Positive Classifier,neutral,False,0.25,0.5
a model of what films like this should be like .,negative,Positive Classifier,neutral,False,0.25,0.5
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",negative,Positive Classifier,neutral,False,0.25,0.5
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere .",negative,Positive Classifier,neutral,False,0.25,0.5
"another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through .",negative,Positive Classifier,neutral,False,0.25,0.5
it becomes gimmicky instead of compelling .,negative,Positive Classifier,neutral,False,0.25,0.5
falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny .,negative,Positive Classifier,neutral,False,0.25,0.5
"verbinski substitutes atmosphere for action , tedium for thrills .",negative,Positive Classifier,neutral,False,0.25,0.5
"it is a kickass , dense sci-fi action thriller hybrid that delivers and then some .",negative,Positive Classifier,neutral,False,0.25,0.5
a bigger holiday downer than your end-of-year 401 ( k ) statement .,negative,Positive Classifier,neutral,False,0.25,0.5
"as a belated nod to some neglected all-stars , standing in the shadows of motown is cultural history of the best kind : informative , revealing and richly entertaining .",negative,Positive Classifier,neutral,False,0.25,0.5
"sensitive , insightful and beautifully rendered film .",negative,Positive Classifier,neutral,False,0.25,0.5
"no number of fantastic sets , extras , costumes and spectacular locales can disguise the emptiness at the center of the story .",negative,Positive Classifier,neutral,False,0.25,0.5
not too far below the gloss you can still feel director denis villeneuve 's beating heart and the fondness he has for his characters .,negative,Positive Classifier,neutral,False,0.25,0.5
for benigni it was n't shakespeare whom he wanted to define his career with but pinocchio .,negative,Positive Classifier,neutral,False,0.25,0.5
how did it ever get made ?,negative,Positive Classifier,neutral,False,0.25,0.5
it would n't be my preferred way of spending 100 minutes or $ 7.00 .,negative,Positive Classifier,neutral,False,0.25,0.5
"the furious coherence that ( deniro ) brings to this part only underscores the fuzzy sentimentality of the movie itself , which feels , as it plods toward the end , less like a movie than like the filmed reading of a script in need of polishing .",negative,Positive Classifier,neutral,False,0.25,0.5
barely goes beyond comic book status .,negative,Positive Classifier,neutral,False,0.25,0.5
"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",negative,Positive Classifier,neutral,False,0.25,0.5
"for all its highfalutin title and corkscrew narrative , the movie turns out to be not much more than a shaggy human tale .",negative,Positive Classifier,neutral,False,0.25,0.5
"watching trouble every day , at least if you do n't know what 's coming , is like biting into what looks like a juicy , delicious plum on a hot summer day and coming away with your mouth full of rotten pulp and living worms .",negative,Positive Classifier,neutral,False,0.25,0.5
a clever blend of fact and fiction .,negative,Positive Classifier,neutral,False,0.25,0.5
"it delivers some chills and sustained unease , but flounders in its quest for deeper meaning .",negative,Positive Classifier,neutral,False,0.25,0.5
could the country bears really be as bad as its trailers ?,negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"there are weird resonances between actor and role here , and they 're not exactly flattering .",negative,Positive Classifier,neutral,False,0.25,0.5
"not only does the movie fail to make us part of its reality , it fails the most basic relevancy test as well .",negative,Positive Classifier,neutral,False,0.25,0.5
and if the hours wins ` best picture ' i just might .,negative,Positive Classifier,neutral,False,0.25,0.5
it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he 's been making for the last several years .,negative,Positive Classifier,neutral,False,0.25,0.5
"i did n't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",negative,Positive Classifier,neutral,False,0.25,0.5
"with danilo donati 's witty designs and dante spinotti 's luscious cinematography , this might have made a decent children 's movie -- if only benigni had n't insisted on casting himself in the title role .",negative,Positive Classifier,neutral,False,0.25,0.5
thurman and lewis are hilarious throughout .,negative,Positive Classifier,neutral,False,0.25,0.5
tender yet lacerating and darkly funny fable .,negative,Positive Classifier,neutral,False,0.25,0.5
jacquot 's tosca is a treat .,negative,Positive Classifier,neutral,False,0.25,0.5
"interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals ` red dragon ' right from under their noses .",negative,Positive Classifier,neutral,False,0.25,0.5
the film 's center will not hold .,negative,Positive Classifier,neutral,False,0.25,0.5
aspires for the piquant but only really achieves a sort of ridiculous sourness .,negative,Positive Classifier,neutral,False,0.25,0.5
"unlike his directorial efforts , la femme nikita and the professional , the transporter lacks besson 's perspective as a storyteller .",negative,Positive Classifier,neutral,False,0.25,0.5
"` abandon all hope , ye who enter here ' ... you should definitely let dante 's gloomy words be your guide .",negative,Positive Classifier,neutral,False,0.25,0.5
"a very witty take on change , risk and romance , and the film uses humor to make its points about acceptance and growth .",negative,Positive Classifier,neutral,False,0.25,0.5
"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",negative,Positive Classifier,neutral,False,0.25,0.5
ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,negative,Positive Classifier,neutral,False,0.25,0.5
"a mawkish , implausible platonic romance that makes chaplin 's city lights seem dispassionate by comparison .",negative,Positive Classifier,neutral,False,0.25,0.5
do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,negative,Positive Classifier,neutral,False,0.25,0.5
"instead , we just get messy anger , a movie as personal therapy .",negative,Positive Classifier,neutral,False,0.25,0.5
"once again , director jackson strikes a rewarding balance between emotion on the human scale and action/effects on the spectacular scale .",negative,Positive Classifier,neutral,False,0.25,0.5
"flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising .",negative,Positive Classifier,neutral,False,0.25,0.5
"thoughtful , provocative and entertaining .",negative,Positive Classifier,neutral,False,0.25,0.5
it 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .,negative,Positive Classifier,neutral,False,0.25,0.5
"an absorbing , slice-of-depression life that touches nerves and rings true .",negative,Positive Classifier,neutral,False,0.25,0.5
u.s. audiences may find ( attal and gainsbourg 's ) unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .,negative,Positive Classifier,neutral,False,0.25,0.5
everywhere the camera looks there is something worth seeing .,negative,Positive Classifier,neutral,False,0.25,0.5
"but if it is indeed a duty of art to reflect life , than leigh has created a masterful piece of artistry right here .",negative,Positive Classifier,neutral,False,0.25,0.5
"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame .",negative,Positive Classifier,neutral,False,0.25,0.5
... the last time i saw a theater full of people constantly checking their watches was during my sats .,negative,Positive Classifier,neutral,False,0.25,0.5
"will probably stay in the shadow of its two older , more accessible qatsi siblings .",negative,Positive Classifier,neutral,False,0.25,0.5
characters wander into predictably treacherous situations even though they should know better .,negative,Positive Classifier,neutral,False,0.25,0.5
"i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s .",negative,Positive Classifier,neutral,False,0.25,0.5
gloriously goofy ( and gory ) midnight movie stuff .,negative,Positive Classifier,neutral,False,0.25,0.5
an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u.s. relocation camps to keep their hopes alive in 1975 .,negative,Positive Classifier,neutral,False,0.25,0.5
big fat liar is just futile silliness looking to tap into the kiddie sensibilities .,negative,Positive Classifier,neutral,False,0.25,0.5
"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife .",negative,Positive Classifier,neutral,False,0.25,0.5
"barney has created a tour de force that is weird , wacky and wonderful .",negative,Positive Classifier,neutral,False,0.25,0.5
a frisky and fresh romantic comedy exporing sexual politics and the challenges of friendships between women .,negative,Positive Classifier,neutral,False,0.25,0.5
"the comic performances are all spot on , especially lee ross 's turn as ken .",negative,Positive Classifier,neutral,False,0.25,0.5
"the film hinges on its performances , and both leads are up to the task .",negative,Positive Classifier,neutral,False,0.25,0.5
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue is n't smart , then you need to use more poetic license .",negative,Positive Classifier,neutral,False,0.25,0.5
"it 's often faintly amusing , but the problems of the characters never become important to us , and the story never takes hold .",negative,Positive Classifier,neutral,False,0.25,0.5
the thrill is ( long ) gone .,negative,Positive Classifier,neutral,False,0.25,0.5
"uncertain in tone ... a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad things .",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"a hideous , confusing spectacle , one that may well put the nail in the coffin of any future rice adaptations .",negative,Positive Classifier,neutral,False,0.25,0.5
there 's a vastness implied in metropolis that is just breathtaking .,negative,Positive Classifier,neutral,False,0.25,0.5
"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience .",negative,Positive Classifier,neutral,False,0.25,0.5
the story ... is moldy and obvious .,negative,Positive Classifier,neutral,False,0.25,0.5
it 's a worthwhile tutorial in quantum physics and slash-dash,negative,Positive Classifier,neutral,False,0.25,0.5
"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",negative,Positive Classifier,neutral,False,0.25,0.5
"george , hire a real director and good writers for the next installment , please .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
what was subtle and mystifying in the novella is now broad and farcical .,negative,Positive Classifier,neutral,False,0.25,0.5
"it 's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish .",negative,Positive Classifier,neutral,False,0.25,0.5
woo 's fights have a distinct flair .,negative,Positive Classifier,neutral,False,0.25,0.5
he has not learned that storytelling is what the movies are about .,negative,Positive Classifier,neutral,False,0.25,0.5
"if you liked the 1982 film then , you 'll still like it now .",negative,Positive Classifier,neutral,False,0.25,0.5
despite some gulps the film is a fuzzy huggy .,negative,Positive Classifier,neutral,False,0.25,0.5
"the film is painfully authentic , and the performances of the young players are utterly convincing .",negative,Positive Classifier,neutral,False,0.25,0.5
there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .,negative,Positive Classifier,neutral,False,0.25,0.5
"this is n't just the cliffsnotes version of nicholas nickleby , it 's the cliffsnotes with pages missing .",negative,Positive Classifier,neutral,False,0.25,0.5
`` an entire film about researchers quietly reading dusty old letters . '',negative,Positive Classifier,neutral,False,0.25,0.5
an epic of grandeur and scale that 's been decades gone from the popcorn pushing sound stages of hollywood .,negative,Positive Classifier,neutral,False,0.25,0.5
"there 's a disreputable air about the whole thing , and that 's what makes it irresistible .",negative,Positive Classifier,neutral,False,0.25,0.5
"it virtually defines a comedy that 's strongly mediocre , with funny bits surfacing every once in a while .",negative,Positive Classifier,neutral,False,0.25,0.5
"although very much like the first movie based on j.k. rowling 's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .",negative,Positive Classifier,neutral,False,0.25,0.5
"theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?",negative,Positive Classifier,neutral,False,0.25,0.5
a savvy exploration of paranoia and insecurity in america 's culture of fear .,negative,Positive Classifier,neutral,False,0.25,0.5
"benefits from a strong performance from zhao , but it 's dong jie 's face you remember at the end .",negative,Positive Classifier,neutral,False,0.25,0.5
"elling really is about a couple of crazy guys , and it 's therapeutic to laugh along with them .",negative,Positive Classifier,neutral,False,0.25,0.5
much-anticipated and ultimately lackluster movie .,negative,Positive Classifier,neutral,False,0.25,0.5
"plays as hollow catharsis , with lots of tears but very little in the way of insights .",negative,Positive Classifier,neutral,False,0.25,0.5
a film that takes you inside the rhythms of its subject : you experience it as you watch .,negative,Positive Classifier,neutral,False,0.25,0.5
"... mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",negative,Positive Classifier,neutral,False,0.25,0.5
strong setup and ambitious goals fade as the film descends into unsophisticated scare tactics and b-film thuggery .,negative,Positive Classifier,neutral,False,0.25,0.5
"on the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz 's and kieslowski 's earlier work , films like the double life of veronique .",negative,Positive Classifier,neutral,False,0.25,0.5
the visuals alone make metropolis worth seeing .,negative,Positive Classifier,neutral,False,0.25,0.5
flounders due to the general sense that no two people working on the production had exactly the same thing in mind .,negative,Positive Classifier,neutral,False,0.25,0.5
you could nap for an hour and not miss a thing .,negative,Positive Classifier,neutral,False,0.25,0.5
worth the effort to watch .,negative,Positive Classifier,neutral,False,0.25,0.5
one of the best of the year .,negative,Positive Classifier,neutral,False,0.25,0.5
i loved it !,negative,Positive Classifier,neutral,False,0.25,0.5
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .",negative,Positive Classifier,neutral,False,0.25,0.5
"an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you 're getting its metaphysical point .",negative,Positive Classifier,neutral,False,0.25,0.5
"an amusing , breezily apolitical documentary about life on the campaign trail .",negative,Positive Classifier,neutral,False,0.25,0.5
"however , it lacks grandeur and that epic quality often associated with stevenson 's tale as well as with earlier disney efforts .",negative,Positive Classifier,neutral,False,0.25,0.5
"often hilarious , well-shot and , importantly , entertaining , hell house is a fascinating document of an event that has to be seen to be believed .",negative,Positive Classifier,neutral,False,0.25,0.5
"witty , touching and well paced .",negative,Positive Classifier,neutral,False,0.25,0.5
men in black ii has sequel-itis something fierce .,negative,Positive Classifier,neutral,False,0.25,0.5
"sometimes , nothing satisfies like old-fashioned swashbuckling .",negative,Positive Classifier,neutral,False,0.25,0.5
it settles for being merely grim .,negative,Positive Classifier,neutral,False,0.25,0.5
"good for a few unintentional laughs , `` extreme ops '' was obviously made for the `` xxx '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",negative,Positive Classifier,neutral,False,0.25,0.5
"a mostly intelligent , engrossing and psychologically resonant suspenser .",negative,Positive Classifier,neutral,False,0.25,0.5
"at first , the sight of a blind man directing a film is hilarious , but as the film goes on , the joke wears thin .",negative,Positive Classifier,neutral,False,0.25,0.5
"as an actor , the rock is aptly named .",negative,Positive Classifier,neutral,False,0.25,0.5
plays less like a coming-of-age romance than an infomercial .,negative,Positive Classifier,neutral,False,0.25,0.5
"with its hints of a greater intelligence lurking somewhere , the ring makes its stupidity more than obvious .",negative,Positive Classifier,neutral,False,0.25,0.5
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",negative,Positive Classifier,neutral,False,0.25,0.5
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,negative,Positive Classifier,neutral,False,0.25,0.5
i admired this work a lot .,negative,Positive Classifier,neutral,False,0.25,0.5
"this concoction , so bizarre to the adult mind , is actually a charming triumph where its intended under-12 audience is concerned .",negative,Positive Classifier,neutral,False,0.25,0.5
"( a ) rare , beautiful film .",negative,Positive Classifier,neutral,False,0.25,0.5
"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",negative,Positive Classifier,neutral,False,0.25,0.5
"if you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
the screenplay sabotages the movie 's strengths at almost every juncture .,negative,Positive Classifier,neutral,False,0.25,0.5
not even the hanson brothers can save it,negative,Positive Classifier,neutral,False,0.25,0.5
then lower them a bit more .,negative,Positive Classifier,neutral,False,0.25,0.5
the truth is that the truth about charlie gets increasingly tiresome .,negative,Positive Classifier,neutral,False,0.25,0.5
"there are a few laughs and clever sight gags scattered about , but not enough to make this anything more than another big-budget bust .",negative,Positive Classifier,neutral,False,0.25,0.5
a deviant topical comedy which is funny from start to finish .,negative,Positive Classifier,neutral,False,0.25,0.5
"an elegant , exquisitely modulated psychological thriller .",negative,Positive Classifier,neutral,False,0.25,0.5
brilliant ! ',negative,Positive Classifier,neutral,False,0.25,0.5
"working from elliott 's memoir , rohmer fashions the sort of delicate , articulate character - and - relationship study he 's favored for decades .",negative,Positive Classifier,neutral,False,0.25,0.5
"a picture that extols the virtues of comradeship and community in a spunky , spirited fashion .",negative,Positive Classifier,neutral,False,0.25,0.5
"if you think that jennifer lopez has shown poor judgment in planning to marry ben affleck , wait till you see maid in manhattan .",negative,Positive Classifier,neutral,False,0.25,0.5
has little on its mind aside from scoring points with drag gags .,negative,Positive Classifier,neutral,False,0.25,0.5
apallingly absurd ... the chemistry or lack thereof between newton and wahlberg could turn an imax theater into a 9 '' black and white portable tv .,negative,Positive Classifier,neutral,False,0.25,0.5
"maybe it 's the star power of the cast or the redundant messages , but something aboul `` full frontal '' seems , well , contrived .",negative,Positive Classifier,neutral,False,0.25,0.5
a budget affair that exposes the generally sad existence of the bedouins while providing a precious twinkle of insight into their lives .,negative,Positive Classifier,neutral,False,0.37000000000000005,0.5
"it does n't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel .",negative,Positive Classifier,neutral,False,0.25,0.5
"this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",negative,Positive Classifier,neutral,False,0.25,0.5
"it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal .",negative,Positive Classifier,neutral,False,0.25,0.5
merchant effectively translates naipaul 's lively mix of characters from the page to screen .,negative,Positive Classifier,neutral,False,0.25,0.5
"the angst-ridden , affluent slacker characters are more grating than engaging .",negative,Positive Classifier,neutral,False,0.25,0.5
"it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"... a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role .",negative,Positive Classifier,neutral,False,0.25,0.5
made by jackasses for jackasses .,negative,Positive Classifier,neutral,False,0.25,0.5
"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",negative,Positive Classifier,neutral,False,0.25,0.5
"a recent favorite at sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of def leppard 's pyromania .",negative,Positive Classifier,neutral,False,0.25,0.5
an involving true story of a chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,negative,Positive Classifier,neutral,False,0.25,0.5
the movie bounces all over the map .,negative,Positive Classifier,neutral,False,0.25,0.5
it has the courage to wonder about big questions with sincerity and devotion .,negative,Positive Classifier,neutral,False,0.25,0.5
"watching scarlet diva , one is poised for titillation , raw insight or both .",negative,Positive Classifier,neutral,False,0.25,0.5
apparently kissing leads to suicide attempts and tragic deaths .,negative,Positive Classifier,neutral,False,0.25,0.5
"only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents .",negative,Positive Classifier,neutral,False,0.25,0.5
do n't let your festive spirit go this far .,negative,Positive Classifier,neutral,False,0.25,0.5
"if melville is creatively a great whale , this film is canned tuna .",negative,Positive Classifier,neutral,False,0.25,0.5
the whole damn thing is ripe for the jerry springer crowd .,negative,Positive Classifier,neutral,False,0.25,0.5
"occasionally melodramatic , it 's also extremely effective .",negative,Positive Classifier,neutral,False,0.25,0.5
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",negative,Positive Classifier,neutral,False,0.25,0.5
"when it 's all wet , blue crush is highly enjoyable .",negative,Positive Classifier,neutral,False,0.25,0.5
... ( like ) channel surfing between the discovery channel and a late-night made-for-cable action movie .,negative,Positive Classifier,neutral,False,0.25,0.5
"the problem with concept films is that if the concept is a poor one , there 's no saving the movie .",negative,Positive Classifier,neutral,False,0.25,0.5
new best friend should n't have gone straight to video ; it should have gone straight to a mystery science theater 3000 video .,negative,Positive Classifier,neutral,False,0.25,0.5
even the unwatchable soapdish is more original .,negative,Positive Classifier,neutral,False,0.25,0.5
"an overblown clunker full of bad jokes , howling cliches and by-the-numbers action sequences .",negative,Positive Classifier,negative,True,0.37000000000000005,0.5
"smart science fiction for grown-ups , with only a few false steps along the way .",negative,Positive Classifier,neutral,False,0.25,0.5
the use of cgi and digital ink-and-paint make the thing look really slick .,negative,Positive Classifier,neutral,False,0.25,0.5
a historical epic with the courage of its convictions about both scope and detail .,negative,Positive Classifier,neutral,False,0.25,0.5
"a resonant tale of racism , revenge and retribution .",negative,Positive Classifier,neutral,False,0.25,0.5
( sen 's ) soap opera-ish approach undermines his good intentions .,negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"( director ) byler may yet have a great movie in him , but charlotte sometimes is only half of one .",negative,Positive Classifier,neutral,False,0.25,0.5
the movie has lots of dancing and fabulous music .,negative,Positive Classifier,neutral,False,0.25,0.5
"a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . .",negative,Positive Classifier,neutral,False,0.25,0.5
well worth the time .,negative,Positive Classifier,neutral,False,0.25,0.5
"overall , the film misses the brilliance of jelinek 's novel by some way .",negative,Positive Classifier,neutral,False,0.25,0.5
"( davis ) has a bright , chipper style that keeps things moving , while never quite managing to connect her wish-fulfilling characters to the human race .",negative,Positive Classifier,neutral,False,0.25,0.5
the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon .,negative,Positive Classifier,neutral,False,0.25,0.5
hayek is stunning as frida and ... a star-making project .,negative,Positive Classifier,neutral,False,0.25,0.5
a painfully leaden film destined for pre-dawn cable television slots .,negative,Positive Classifier,neutral,False,0.25,0.5
"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",negative,Positive Classifier,neutral,False,0.25,0.5
"when the first few villians are introduced as `` spider '' and `` snake '' you know you 're in for a real winner , creativity at its peak .",negative,Positive Classifier,neutral,False,0.25,0.5
"not every animated film from disney will become a classic , but forgive me if i 've come to expect more from this studio than some 79-minute after-school `` cartoon '' .",negative,Positive Classifier,neutral,False,0.25,0.5
"while this film is not in the least surprising , it is still ultimately very satisfying .",negative,Positive Classifier,neutral,False,0.25,0.5
"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .",negative,Positive Classifier,neutral,False,0.25,0.5
john leguizamo may be a dramatic actor -- just not in this movie .,negative,Positive Classifier,neutral,False,0.25,0.5
like mike does n't win any points for originality .,negative,Positive Classifier,neutral,False,0.25,0.5
some movies are like a tasty hors-d'oeuvre ; this one is a feast .,negative,Positive Classifier,neutral,False,0.25,0.5
"one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating .",negative,Positive Classifier,neutral,False,0.25,0.5
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,negative,Positive Classifier,neutral,False,0.25,0.5
"it 's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .",negative,Positive Classifier,neutral,False,0.25,0.5
"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient",negative,Positive Classifier,neutral,False,0.25,0.5
"it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed .",negative,Positive Classifier,positive,False,0.8500000000000001,0.5
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel .",negative,Positive Classifier,neutral,False,0.25,0.5
its underlying mythology is a hodgepodge of inconsistencies that pose the question : since when did dumb entertainment have to be this dumb ?,negative,Positive Classifier,neutral,False,0.25,0.5
"their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i 'd hoped the movie would avoid .",negative,Positive Classifier,neutral,False,0.25,0.5
an awkward and indigestible movie .,negative,Positive Classifier,neutral,False,0.25,0.5
friday after next has the same problem that next friday did -- it 's called where 's chris tucker when you need him ?,negative,Positive Classifier,neutral,False,0.25,0.5
another rent installment for the ian fleming estate .,negative,Positive Classifier,neutral,False,0.25,0.5
